timer,fight_result,has_round_started,is_round_over,player1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left,player1_buttons_select,player1_buttons_start,player1_buttons_y,player1_buttons_b,player1_buttons_x,player1_buttons_a,player1_buttons_l,player1_buttons_r,player2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,diff_x,diff_y,diff_health
117,NOT_OVER,True,False,8,77,266,176,False,False,False,0,False,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,False,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,False,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,False,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,False,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,True,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,77,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-43
116,NOT_OVER,True,False,8,72,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-48
116,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
116,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
116,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
116,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,True,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,67,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-53
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
115,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
114,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
114,NOT_OVER,True,False,8,62,266,176,False,False,False,0,False,False,False,True,False,False,False,False,False,True,False,False,1,120,316,192,False,False,False,0,-50,-16,-58
